session_id,config_id,browser_profile,mux_mode,parallel,padding_mode,resolver_mode,success,pcap_file,browser_log,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,holdout_strict_unseen_proxy_probability,holdout_strict_unseen_proxy_label_050
RQ7_CONFIRM_baseline_default_off_01,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_01.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_01_browser.json,21665,70,36,34,0,10586,4831,15417,1.141853,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,0.9980151364756181,1
RQ7_CONFIRM_baseline_default_off_02,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_02.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_02_browser.json,21417,69,35,34,0,10426,4831,15257,1.139745,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,0.9419688632358109,1
RQ7_CONFIRM_baseline_default_off_03,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_03.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_03_browser.json,21521,68,35,33,0,10618,4831,15449,1.139794,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0,0.9996410261422138,1
RQ7_CONFIRM_baseline_default_off_04,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_04.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_04_browser.json,21337,67,34,33,0,10522,4831,15353,1.145909,40,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,-366,0,0,0,0,0.9556289380513948,1
RQ7_CONFIRM_baseline_default_off_05,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_05.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_05_browser.json,21369,67,34,33,0,10554,4831,15385,1.147163,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2062,0.9576271533826597,1
RQ7_CONFIRM_baseline_default_off_06,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_06.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_06_browser.json,21385,69,35,34,0,10394,4831,15225,1.142792,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,0.8891900718012118,1
RQ7_CONFIRM_baseline_default_off_07,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_07.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_07_browser.json,21305,67,34,33,0,10490,4831,15321,1.144525,38,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0,0.9042723090656262,1
RQ7_CONFIRM_baseline_default_off_08,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_08.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_08_browser.json,21209,67,34,33,0,10394,4831,15225,1.144064,42,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2030,0.8901338034924824,1
RQ7_CONFIRM_baseline_default_off_09,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_09.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_09_browser.json,21369,67,34,33,0,10554,4831,15385,1.146044,42,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,-366,0,0,0,0,0.9588435660563129,1
RQ7_CONFIRM_baseline_default_off_10,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_10.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_10_browser.json,21569,70,36,34,0,10490,4831,15321,1.141708,46,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,0.9579688632358109,1
